time,rad_dist,lon,lat,v_r,v_theta,v_phi
2018-08-01 00:00:00,151842287.309216,0.000000,0.000000,-0.205551,0.000000,0.000000
2018-08-02 00:00:00,151824268.293640,0.000000,0.000000,-0.211600,0.000000,-0.000000
2018-08-03 00:00:00,151805714.417443,-0.000000,0.000000,-0.217943,-0.000000,0.000000
2018-08-04 00:00:00,151786597.327697,0.000000,0.000000,-0.224648,-0.000000,0.000000
2018-08-05 00:00:00,151766883.082623,-0.000000,0.000000,-0.231776,0.000000,-0.000000
2018-08-06 00:00:00,151746532.700584,0.000000,0.000000,-0.239381,-0.000000,0.000000
2018-08-07 00:00:00,151725503.380797,0.000000,0.000000,-0.247495,0.000000,-0.000000
2018-08-08 00:00:00,151703750.769820,-0.000000,0.000000,-0.256120,-0.000000,0.000000
2018-08-09 00:00:00,151681232.530660,0.000000,0.000000,-0.265205,0.000000,-0.000000
2018-08-10 00:00:00,151657913.080198,-0.000000,-0.000000,-0.274643,-0.000000,0.000000
2018-08-11 00:00:00,151633768.726008,-0.000000,0.000000,-0.284269,0.000000,-0.000000
2018-08-12 00:00:00,151608791.855509,-0.000000,0.000000,-0.293879,0.000000,0.000000
2018-08-13 00:00:00,151582992.789843,0.000000,-0.000000,-0.303268,0.000000,-0.000000
2018-08-14 00:00:00,151556398.652221,0.000000,0.000000,-0.312258,-0.000000,0.000000
2018-08-15 00:00:00,151529049.747396,0.000000,-0.000000,-0.320724,0.000000,0.000000
2018-08-16 00:00:00,151500994.768211,0.000000,0.000000,-0.328595,0.000000,-0.000000
2018-08-17 00:00:00,151472286.204555,0.000000,0.000000,-0.335853,0.000000,0.000000
2018-08-18 00:00:00,151442976.808103,-0.000000,0.000000,-0.342508,-0.000000,0.000000
2018-08-19 00:00:00,151413117.330267,0.000000,-0.000000,-0.348592,-0.000000,0.000000
2018-08-20 00:00:00,151382755.323938,0.000000,-0.000000,-0.354147,-0.000000,-0.000000
2018-08-21 00:00:00,151351934.639194,0.000000,-0.000000,-0.359217,-0.000000,0.000000
2018-08-22 00:00:00,151320695.260071,0.000000,0.000000,-0.363847,0.000000,0.000000
2018-08-23 00:00:00,151289073.220875,0.000000,0.000000,-0.368083,-0.000000,0.000000
2018-08-24 00:00:00,151257100.443301,0.000000,0.000000,-0.371974,0.000000,0.000000
2018-08-25 00:00:00,151224804.424595,0.000000,0.000000,-0.375575,-0.000000,0.000000
2018-08-26 00:00:00,151192207.776270,-0.000000,0.000000,-0.378944,-0.000000,-0.000000
2018-08-27 00:00:00,151159327.661831,-0.000000,-0.000000,-0.382148,0.000000,0.000000
2018-08-28 00:00:00,151126175.209459,0.000000,-0.000000,-0.385261,0.000000,0.000000
2018-08-29 00:00:00,151092754.980801,-0.000000,-0.000000,-0.388360,0.000000,0.000000
2018-08-30 00:00:00,151059064.562788,-0.000000,0.000000,-0.391529,-0.000000,-0.000000
2018-08-31 00:00:00,151025094.326069,-0.000000,-0.000000,-0.394852,0.000000,0.000000
2018-09-01 00:00:00,150990827.377726,-0.000000,-0.000000,-0.398411,0.000000,0.000000
2018-09-02 00:00:00,150956239.745604,0.000000,0.000000,-0.402288,0.000000,0.000000
2018-09-03 00:00:00,150921300.878295,0.000000,0.000000,-0.406553,-0.000000,0.000000
2018-09-04 00:00:00,150885974.623215,-0.000000,0.000000,-0.411263,0.000000,-0.000000
2018-09-05 00:00:00,150850220.922430,-0.000000,0.000000,-0.416450,0.000000,0.000000
