time,rad_dist,lon,lat,v_r,v_theta,v_phi
2018-08-01 00:00:00,151943481.105558,-0.004379,-0.000597,1.625055,-12.186425,-1.573722
2018-08-02 00:00:00,152074196.074442,-0.011305,-0.001489,1.207638,-12.214086,-1.569175
2018-08-03 00:00:00,152176507.316166,-0.018243,-0.002379,0.793530,-12.250135,-1.567078
2018-08-04 00:00:00,152250580.518863,-0.025196,-0.003266,0.379891,-12.276651,-1.565019
2018-08-05 00:00:00,152296471.587202,-0.032161,-0.004152,-0.033547,-12.291106,-1.562687
2018-08-06 00:00:00,152314207.999667,-0.039135,-0.005038,-0.446738,-12.292683,-1.560003
2018-08-07 00:00:00,152303802.375571,-0.046115,-0.005922,-0.859553,-12.280965,-1.556946
2018-08-08 00:00:00,152265256.470902,-0.053098,-0.006806,-1.271824,-12.255657,-1.553515
2018-08-09 00:00:00,152198562.705257,-0.060080,-0.007690,-1.683369,-12.216514,-1.549718
2018-08-10 00:00:00,152103704.849603,-0.067057,-0.008574,-2.093991,-12.163333,-1.545562
2018-08-11 00:00:00,151980658.361305,-0.074025,-0.009458,-2.503491,-12.095965,-1.541049
2018-08-12 00:00:00,151829390.549302,-0.080982,-0.010343,-2.911666,-12.014335,-1.536175
2018-08-13 00:00:00,151649860.647369,-0.087922,-0.011229,-3.318320,-11.918451,-1.530926
2018-08-14 00:00:00,151442019.832130,-0.094842,-0.012117,-3.723265,-11.808393,-1.525282
2018-08-15 00:00:00,151205811.204300,-0.101737,-0.013005,-4.126320,-11.684285,-1.519216
2018-08-16 00:00:00,150941169.743073,-0.108604,-0.013896,-4.527314,-11.546267,-1.512704
2018-08-17 00:00:00,150648022.239206,-0.115439,-0.014789,-4.926079,-11.394473,-1.505722
2018-08-18 00:00:00,150326287.209987,-0.122238,-0.015684,-5.322454,-11.229016,-1.498246
2018-08-19 00:00:00,149975874.797929,-0.128997,-0.016581,-5.716282,-11.049986,-1.490258
2018-08-20 00:00:00,149596686.654233,-0.135712,-0.017482,-6.107407,-10.857453,-1.481740
2018-08-21 00:00:00,149188615.807596,-0.142378,-0.018385,-6.495680,-10.651468,-1.472676
2018-08-22 00:00:00,148751546.518540,-0.148993,-0.019292,-6.880953,-10.432070,-1.463051
2018-08-23 00:00:00,148285354.119303,-0.155550,-0.020202,-7.263085,-10.199291,-1.452850
2018-08-24 00:00:00,147789904.839117,-0.162047,-0.021117,-7.641939,-9.953153,-1.442058
2018-08-25 00:00:00,147265055.614591,-0.168478,-0.022035,-8.017384,-9.693670,-1.430662
2018-08-26 00:00:00,146710653.884833,-0.174840,-0.022957,-8.389293,-9.420850,-1.418648
2018-08-27 00:00:00,146126537.370870,-0.181126,-0.023884,-8.757546,-9.134686,-1.406003
2018-08-28 00:00:00,145512533.838833,-0.187332,-0.024816,-9.122027,-8.835160,-1.392714
2018-08-29 00:00:00,144868460.846356,-0.193454,-0.025754,-9.482626,-8.522239,-1.378769
2018-08-30 00:00:00,144194125.471570,-0.199485,-0.026696,-9.839237,-8.195871,-1.364156
2018-08-31 00:00:00,143489324.024010,-0.205420,-0.027644,-10.191760,-7.855984,-1.348865
2018-09-01 00:00:00,142753841.736774,-0.211253,-0.028599,-10.540098,-7.502487,-1.332884
2018-09-02 00:00:00,141987452.439167,-0.216977,-0.029560,-10.884162,-7.135267,-1.316201
2018-09-03 00:00:00,141189918.209101,-0.222587,-0.030527,-11.223866,-6.754185,-1.298804
2018-09-04 00:00:00,140360989.004463,-0.228075,-0.031502,-11.559129,-6.359079,-1.280679
2018-09-05 00:00:00,139500402.272653,-0.233433,-0.032484,-11.889878,-5.949762,-1.261810
2018-09-06 00:00:00,138607882.537498,-0.238655,-0.033474,-12.216050,-5.526029,-1.242177
2018-09-07 00:00:00,137683140.962727,-0.243730,-0.034473,-12.537592,-5.087665,-1.221753
2018-09-08 00:00:00,136725874.891235,-0.248652,-0.035480,-12.854473,-4.634470,-1.200504
2018-09-09 00:00:00,135735767.359361,-0.253408,-0.036496,-13.166690,-4.166270,-1.178388
2018-09-10 00:00:00,134712486.585460,-0.257991,-0.037523,-13.474277,-3.682943,-1.155353
2018-09-11 00:00:00,133655685.432195,-0.262389,-0.038559,-13.777306,-3.184411,-1.131337
2018-09-12 00:00:00,132565000.842851,-0.266590,-0.039607,-14.075893,-2.670636,-1.106275
2018-09-13 00:00:00,131440053.244308,-0.270583,-0.040665,-14.370277,-2.141426,-1.080075
2018-09-14 00:00:00,130280435.404266,-0.274355,-0.041735,-14.660488,-1.597097,-1.052711
2018-09-15 00:00:00,129085743.700919,-0.277892,-0.042817,-14.946845,-1.037433,-1.024089
2018-09-16 00:00:00,127855545.204496,-0.281181,-0.043912,-15.229623,-0.462356,-0.994135
