time,rad_dist,lon,lat,v_r,v_theta,v_phi
2018-09-30 00:00:00,149835515.812935,-0.000002,0.000000,2.281791,-4.346385,0.844771
2018-10-01 00:00:00,150026662.060368,-0.002533,0.000487,2.131210,-4.441381,0.844854
2018-10-02 00:00:00,150205799.084225,-0.005111,0.000972,1.979857,-4.531551,0.844648
2018-10-03 00:00:00,150372917.429831,-0.007733,0.001456,1.827778,-4.616742,0.844144
2018-10-04 00:00:00,150528008.429824,-0.010399,0.001939,1.675021,-4.696784,0.843331
2018-10-05 00:00:00,150671064.171425,-0.013104,0.002421,1.521634,-4.771497,0.842207
2018-10-06 00:00:00,150802077.467287,-0.015847,0.002901,1.367675,-4.840705,0.840774
2018-10-07 00:00:00,150921041.827563,-0.018624,0.003379,1.213201,-4.904250,0.839037
2018-10-08 00:00:00,151027951.435977,-0.021434,0.003856,1.058273,-4.962017,0.837011
2018-10-09 00:00:00,151122801.127023,-0.024274,0.004332,0.902954,-5.013935,0.834712
2018-10-10 00:00:00,151205586.366702,-0.027140,0.004806,0.747306,-5.059991,0.832159
2018-10-11 00:00:00,151276303.234867,-0.030030,0.005278,0.591392,-5.100218,0.829371
2018-10-12 00:00:00,151334948.410197,-0.032942,0.005748,0.435273,-5.134684,0.826363
2018-10-13 00:00:00,151381519.157359,-0.035873,0.006217,0.279012,-5.163471,0.823151
2018-10-14 00:00:00,151416013.316499,-0.038820,0.006685,0.122668,-5.186663,0.819741
2018-10-15 00:00:00,151438429.294842,-0.041781,0.007150,-0.033699,-5.204340,0.816143
2018-10-16 00:00:00,151448766.060468,-0.044754,0.007615,-0.190028,-5.216575,0.812357
2018-10-17 00:00:00,151447023.138481,-0.047737,0.008077,-0.346259,-5.223425,0.808389
2018-10-18 00:00:00,151433200.608808,-0.050726,0.008538,-0.502333,-5.224949,0.804237
2018-10-19 00:00:00,151407299.106923,-0.053720,0.008997,-0.658190,-5.221200,0.799902
2018-10-20 00:00:00,151369319.826045,-0.056716,0.009455,-0.813773,-5.212233,0.795382
2018-10-21 00:00:00,151319264.521922,-0.059712,0.009910,-0.969022,-5.198110,0.790675
2018-10-22 00:00:00,151257135.519481,-0.062707,0.010365,-1.123881,-5.178895,0.785777
2018-10-23 00:00:00,151182935.721930,-0.065697,0.010818,-1.278295,-5.154657,0.780682
2018-10-24 00:00:00,151096668.621958,-0.068681,0.011269,-1.432210,-5.125466,0.775379
2018-10-25 00:00:00,150998338.315258,-0.071657,0.011718,-1.585571,-5.091375,0.769857
2018-10-26 00:00:00,150887949.516269,-0.074623,0.012166,-1.738320,-5.052423,0.764102
2018-10-27 00:00:00,150765507.575944,-0.077575,0.012612,-1.890402,-5.008616,0.758096
2018-10-28 00:00:00,150631018.502685,-0.080514,0.013056,-2.041759,-4.959928,0.751825
2018-10-29 00:00:00,150484488.984925,-0.083435,0.013499,-2.192325,-4.906294,0.745272
2018-10-30 00:00:00,150325926.416550,-0.086337,0.013940,-2.342033,-4.847616,0.738425
2018-10-31 00:00:00,150155338.924715,-0.089219,0.014378,-2.490816,-4.783771,0.731276
2018-11-01 00:00:00,149972735.400705,-0.092076,0.014815,-2.638598,-4.714619,0.723819
2018-11-02 00:00:00,149778125.532766,-0.094907,0.015250,-2.785305,-4.640017,0.716055
2018-11-03 00:00:00,149571519.842603,-0.097709,0.015682,-2.930861,-4.559822,0.707990
2018-11-04 00:00:00,149352929.724020,-0.100480,0.016112,-3.075191,-4.473912,0.699631
2018-11-05 00:00:00,149122367.485222,-0.103216,0.016540,-3.218219,-4.382189,0.690992
2018-11-06 00:00:00,148879846.393387,-0.105915,0.016965,-3.359878,-4.284585,0.682086
2018-11-07 00:00:00,148625380.723688,-0.108573,0.017388,-3.500100,-4.181079,0.672929
2018-11-08 00:00:00,148358985.810553,-0.111188,0.017809,-3.638826,-4.071682,0.663533
2018-11-09 00:00:00,148080678.102938,-0.113757,0.018227,-3.776000,-3.956442,0.653911
2018-11-10 00:00:00,147790475.223264,-0.116275,0.018642,-3.911574,-3.835434,0.644069
2018-11-11 00:00:00,147488396.030251,-0.118741,0.019055,-4.045502,-3.708747,0.634013
2018-11-12 00:00:00,147174460.685540,-0.121151,0.019465,-4.177742,-3.576474,0.623746
2018-11-13 00:00:00,146848690.724494,-0.123502,0.019872,-4.308256,-3.438710,0.613265
2018-11-14 00:00:00,146511109.131592,-0.125791,0.020276,-4.437008,-3.295547,0.602567
2018-11-15 00:00:00,146161740.420216,-0.128015,0.020678,-4.563965,-3.147067,0.591651
2018-11-16 00:00:00,145800610.717376,-0.130170,0.021076,-4.689094,-2.993355,0.580510
2018-11-17 00:00:00,145427747.853302,-0.132254,0.021472,-4.812369,-2.834497,0.569139
2018-11-18 00:00:00,145043181.456397,-0.134263,0.021865,-4.933767,-2.670581,0.557531
